week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
12-Jun-21,usa,12.10%,-44.50%,-32,-50.00%,10.70%,2.80%,-45.10%,-1.20%
5-Jun-21,usa,13.40%,-46.90%,-35,-51.50%,1.00%,2.10%,-53.60%,-1.50%
29-May-21,usa,12.60%,-49.60%,-36,-50.70%,16.50%,3.00%,-47.90%,-1.20%
22-May-21,usa,15.10%,-50.30%,-37,-52.90%,11.80%,2.80%,-53.00%,-1.50%
15-May-21,usa,15.20%,-51.80%,-35,-51.50%,15.70%,3.10%,-54.40%,-1.60%
8-May-21,usa,15.40%,-52.90%,-30,-45.50%,13.10%,2.90%,-55.30%,-1.50%
1-May-21,usa,16.10%,-52.80%,-28,-43.10%,25.10%,3.40%,-51.20%,-1.30%
24-Apr-21,usa,16.40%,-53.70%,-27,-42.20%,31.70%,3.70%,-48.50%,-1.10%
17-Apr-21,usa,15.80%,-53.70%,-24,-39.30%,52.30%,4.70%,-46.60%,-1.00%
10-Apr-21,usa,15.70%,-53.70%,-22,-37.30%,56.00%,5.00%,-44.80%,-0.80%
3-Apr-21,usa,12.80%,-55.00%,-16,-27.60%,14.20%,3.10%,-52.40%,-1.10%
27-Mar-21,usa,12.60%,-54.30%,-14,-25.00%,22.30%,3.60%,-46.80%,-0.80%
20-Mar-21,usa,11.10%,-53.50%,-10,-18.50%,-0.40%,2.50%,-59.60%,-1.50%
13-Mar-21,usa,9.70%,-52.60%,-12,-21.10%,-9.80%,1.80%,-64.00%,-1.90%
6-Mar-21,usa,9.50%,-51.20%,-11,-19.00%,-9.10%,1.80%,-62.40%,-1.90%
27-Feb-21,usa,11.90%,-51.30%,-13,-20.60%,-8.40%,1.70%,-63.80%,-1.90%
20-Feb-21,usa,12.40%,-50.50%,-18,-25.40%,-19.00%,0.60%,-66.30%,-1.90%
13-Feb-21,usa,11.50%,-49.10%,-15,-20.50%,-9.60%,1.40%,-61.10%,-1.80%
6-Feb-21,usa,13.00%,-48.10%,-17,-21.80%,-9.10%,1.30%,-57.40%,-1.70%
30-Jan-21,usa,11.70%,-46.80%,-16,-20.00%,-2.70%,1.70%,-52.90%,-1.50%
23-Jan-21,usa,11.70%,-45.30%,-15,-18.50%,-3.80%,1.50%,-51.00%,-1.40%
16-Jan-21,usa,11.90%,-44.20%,-15,-18.50%,-2.90%,1.50%,-49.40%,-1.40%
9-Jan-21,usa,11.20%,-43.20%,-14,-17.10%,-9.20%,1.00%,-49.90%,-1.60%
2-Jan-21,usa,10.40%,-42.80%,-16,-18.60%,-16.80%,0.10%,-56.60%,-1.40%
26-Dec-20,usa,11.50%,-42.20%,-16,-19.50%,24.00%,1.20%,-35.80%,-0.30%
19-Dec-20,usa,11.70%,-41.10%,-17,-21.50%,15.70%,1.70%,-31.30%,-0.50%
12-Dec-20,usa,12.40%,-40.60%,-14,-18.70%,16.20%,1.80%,-36.00%,-0.80%
5-Dec-20,usa,13.00%,-40.30%,-13,-17.60%,7.30%,1.40%,-39.80%,-1.20%
28-Nov-20,usa,13.30%,-40.50%,-14,-19.40%,10.30%,1.10%,-35.10%,-0.60%
21-Nov-20,usa,13.30%,-39.80%,-14,-20.30%,23.60%,2.30%,-38.30%,-1.20%
14-Nov-20,usa,12.80%,-39.60%,-14,-20.90%,2.70%,1.20%,-39.20%,-1.30%
7-Nov-20,usa,13.10%,-39.90%,-13,-20.00%,0.10%,1.10%,-47.20%,-1.80%
31-Oct-20,usa,12.00%,-39.20%,-14,-21.20%,-2.50%,0.80%,-46.40%,-1.90%
